ID;Conf;D1G-P;D1G-R;D1G-F1;D1Y-P;D1Y-R;D1Y-F1;D1R-P;D1R-R;D1R-F1;D1Accuracy;D2G-P;D2G-R;D2G-F1;D2Y-P;D2Y-R;D2Y-F1;D2R-P;D2R-R;D2R-F1;D2Accuracy
0;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.8160;0.8160;0.8160;0.7348;0.7698;0.7519;0.7209;0.6327;0.6739;0.7667;0.4792;0.5897;0.5287;0.3889;0.3784;0.3836;0.2500;0.0833;0.1250;0.4318
1;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7500;0.7920;0.7704;0.7000;0.6667;0.6829;0.6458;0.6327;0.6392;0.7133;0.7568;0.7179;0.7368;0.6122;0.8108;0.6977;1.0000;0.1667;0.2857;0.6818
2;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7750;0.7440;0.7592;0.6765;0.7302;0.7023;0.7045;0.6327;0.6667;0.7200;0.6512;0.7179;0.6829;0.5854;0.6486;0.6154;0.5000;0.1667;0.2500;0.6136
3;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.7863;0.8240;0.8047;0.7063;0.7063;0.7063;0.7209;0.6327;0.6739;0.7433;0.6250;0.5128;0.5634;0.4464;0.6757;0.5376;0.0000;0.0000;0.0000;0.5114
4;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.7410;0.8240;0.7803;0.6923;0.6429;0.6667;0.5682;0.5102;0.5376;0.6967;0.7647;0.6667;0.7123;0.5472;0.7838;0.6444;0.0000;0.0000;0.0000;0.6250
5;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7891;0.8080;0.7984;0.7250;0.6905;0.7073;0.5769;0.6122;0.5941;0.7267;0.8529;0.7436;0.7945;0.6531;0.8649;0.7442;0.4000;0.1667;0.2353;0.7159
6;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.8047;0.8240;0.8142;0.7500;0.7381;0.7440;0.6042;0.5918;0.5979;0.7500;0.7667;0.5897;0.6667;0.4792;0.6216;0.5412;0.1000;0.0833;0.0909;0.5341
7;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.8000;0.8000;0.8000;0.7063;0.7063;0.7063;0.6531;0.6531;0.6531;0.7367;0.6087;0.3590;0.4516;0.4444;0.7568;0.5600;0.0000;0.0000;0.0000;0.4773
8;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.7623;0.7440;0.7530;0.6484;0.6587;0.6535;0.6000;0.6122;0.6061;0.6867;0.2979;0.3590;0.3256;0.3478;0.2162;0.2667;0.0556;0.0833;0.0667;0.2614
9;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7122;0.7920;0.7500;0.6983;0.6429;0.6694;0.6667;0.6122;0.6383;0.7000;0.6957;0.8205;0.7529;0.6571;0.6216;0.6389;0.0000;0.0000;0.0000;0.6250
10;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7600;0.7600;0.7600;0.6718;0.6984;0.6848;0.5909;0.5306;0.5591;0.6967;0.6591;0.7436;0.6988;0.5854;0.6486;0.6154;0.6667;0.1667;0.2667;0.6250
11;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.8413;0.8480;0.8446;0.7323;0.7381;0.7352;0.7021;0.6735;0.6875;0.7733;0.9600;0.6154;0.7500;0.5968;1.0000;0.7475;1.0000;0.0833;0.1538;0.7045
12;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.7594;0.8080;0.7829;0.6772;0.6825;0.6798;0.5750;0.4694;0.5169;0.7000;0.6000;0.2308;0.3333;0.5893;0.8919;0.7097;0.0000;0.0000;0.0000;0.4773
13;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.6815;0.7360;0.7077;0.6525;0.6111;0.6311;0.5532;0.5306;0.5417;0.6500;0.7073;0.7436;0.7250;0.6591;0.7838;0.7160;0.0000;0.0000;0.0000;0.6591
14;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7803;0.8240;0.8016;0.6967;0.6746;0.6855;0.5217;0.4898;0.5053;0.7067;0.7647;0.6667;0.7123;0.5490;0.7568;0.6364;0.0000;0.0000;0.0000;0.6136
15;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.7829;0.8080;0.7953;0.7154;0.6984;0.7068;0.6875;0.6735;0.6804;0.7400;0.8462;0.5641;0.6769;0.5455;0.8108;0.6522;0.2857;0.1667;0.2105;0.6136
16;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.7520;0.7520;0.7520;0.6496;0.6032;0.6255;0.4483;0.5306;0.4860;0.6533;0.4359;0.8718;0.5812;0.2000;0.0541;0.0851;0.0000;0.0000;0.0000;0.4091
17;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7597;0.7840;0.7717;0.6639;0.6270;0.6449;0.5192;0.5510;0.5347;0.6800;0.7105;0.6923;0.7013;0.6042;0.7838;0.6824;1.0000;0.1667;0.2857;0.6591
18;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7519;0.8000;0.7752;0.7130;0.6508;0.6805;0.6346;0.6735;0.6535;0.7167;0.6481;0.8974;0.7527;0.6250;0.5405;0.5797;0.0000;0.0000;0.0000;0.6250
19;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.7652;0.8080;0.7860;0.7265;0.6746;0.6996;0.7255;0.7551;0.7400;0.7433;1.0000;0.6410;0.7813;0.5873;1.0000;0.7400;0.0000;0.0000;0.0000;0.7045
20;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.6739;0.7440;0.7072;0.6364;0.5556;0.5932;0.4615;0.4898;0.4752;0.6233;0.4507;0.8205;0.5818;0.2000;0.0811;0.1154;0.5000;0.0833;0.1429;0.4091
21;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7101;0.7840;0.7452;0.6466;0.5952;0.6198;0.5217;0.4898;0.5053;0.6567;0.6667;0.7692;0.7143;0.5814;0.6757;0.6250;0.0000;0.0000;0.0000;0.6250
22;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7538;0.7840;0.7686;0.6917;0.7302;0.7104;0.5676;0.4286;0.4884;0.7033;0.4545;0.7692;0.5714;0.3000;0.1622;0.2105;0.0000;0.0000;0.0000;0.4091
23;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.7630;0.8240;0.7923;0.7480;0.7302;0.7390;0.6667;0.5714;0.6154;0.7433;1.0000;0.6410;0.7813;0.5873;1.0000;0.7400;0.0000;0.0000;0.0000;0.7045
24;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.7143;0.7600;0.7364;0.6271;0.5873;0.6066;0.3469;0.3469;0.3469;0.6200;0.8710;0.6923;0.7714;0.5789;0.8919;0.7021;0.0000;0.0000;0.0000;0.6818
25;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7222;0.7280;0.7251;0.6148;0.5952;0.6048;0.4615;0.4898;0.4752;0.6333;0.6944;0.6410;0.6667;0.5577;0.7838;0.6517;0.0000;0.0000;0.0000;0.6136
26;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7591;0.8320;0.7939;0.7281;0.6587;0.6917;0.5918;0.5918;0.5918;0.7200;0.7381;0.7949;0.7654;0.5909;0.7027;0.6420;0.0000;0.0000;0.0000;0.6477
27;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.7500;0.7920;0.7704;0.6641;0.6746;0.6693;0.7000;0.5714;0.6292;0.7067;0.5789;0.8462;0.6875;0.5806;0.4865;0.5294;0.0000;0.0000;0.0000;0.5795
28;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.6906;0.7680;0.7273;0.6308;0.6508;0.6406;0.4839;0.3061;0.3750;0.6433;0.8710;0.6923;0.7714;0.5789;0.8919;0.7021;0.0000;0.0000;0.0000;0.6818
29;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7031;0.7200;0.7115;0.6466;0.5952;0.6198;0.4643;0.5306;0.4952;0.6367;0.4103;0.8205;0.5470;0.3000;0.0811;0.1277;0.0000;0.0000;0.0000;0.3977
30;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7323;0.7440;0.7381;0.6434;0.7302;0.6840;0.5333;0.3265;0.4051;0.6700;0.4444;0.9231;0.6000;0.2000;0.0270;0.0476;0.0000;0.0000;0.0000;0.4205
31;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.7348;0.7760;0.7549;0.6818;0.7143;0.6977;0.8056;0.5918;0.6824;0.7200;1.0000;0.6667;0.8000;0.5968;1.0000;0.7475;0.0000;0.0000;0.0000;0.7159
32;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.6838;0.7440;0.7126;0.6372;0.5714;0.6025;0.5098;0.5306;0.5200;0.6367;0.7297;0.6923;0.7105;0.5600;0.7568;0.6437;0.0000;0.0000;0.0000;0.6250
33;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7778;0.6720;0.7210;0.6316;0.7619;0.6906;0.6000;0.4898;0.5393;0.6800;0.7429;0.6667;0.7027;0.5769;0.8108;0.6742;0.0000;0.0000;0.0000;0.6364
34;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7500;0.8400;0.7925;0.7345;0.6587;0.6946;0.5745;0.5510;0.5625;0.7167;0.7381;0.7949;0.7654;0.5909;0.7027;0.6420;0.0000;0.0000;0.0000;0.6477
35;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.8017;0.7440;0.7718;0.6552;0.7540;0.7011;0.6154;0.4898;0.5455;0.7067;0.6765;0.5897;0.6301;0.4815;0.7027;0.5714;0.0000;0.0000;0.0000;0.5568
36;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.7023;0.7360;0.7187;0.5906;0.5952;0.5929;0.4762;0.4082;0.4396;0.6233;0.7297;0.6923;0.7105;0.5600;0.7568;0.6437;0.0000;0.0000;0.0000;0.6250
37;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7830;0.6640;0.7186;0.6408;0.7222;0.6791;0.5385;0.5714;0.5545;0.6733;0.7879;0.6667;0.7222;0.5818;0.8649;0.6957;0.0000;0.0000;0.0000;0.6591
38;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7244;0.7360;0.7302;0.6136;0.6429;0.6279;0.4634;0.3878;0.4222;0.6400;0.4507;0.8205;0.5818;0.2667;0.1081;0.1538;0.0000;0.0000;0.0000;0.4091
39;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.8571;0.6720;0.7534;0.6536;0.7937;0.7168;0.5714;0.5714;0.5714;0.7067;0.9600;0.6154;0.7500;0.5873;1.0000;0.7400;0.0000;0.0000;0.0000;0.6932
40;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.6148;0.6640;0.6385;0.5259;0.4841;0.5041;0.4286;0.4286;0.4286;0.5500;0.8235;0.7179;0.7671;0.6111;0.8919;0.7253;0.0000;0.0000;0.0000;0.6932
41;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7419;0.7360;0.7390;0.6160;0.6111;0.6135;0.4706;0.4898;0.4800;0.6433;0.7429;0.6667;0.7027;0.5769;0.8108;0.6742;0.0000;0.0000;0.0000;0.6364
42;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7538;0.7840;0.7686;0.6692;0.6905;0.6797;0.6000;0.4898;0.5393;0.6967;0.7750;0.7949;0.7848;0.6087;0.7568;0.6747;0.0000;0.0000;0.0000;0.6705
43;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.8319;0.7520;0.7899;0.7216;0.5556;0.6278;0.4889;0.8980;0.6331;0.6933;0.6765;0.5897;0.6301;0.4815;0.7027;0.5714;0.0000;0.0000;0.0000;0.5568
44;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.6400;0.7680;0.6982;0.5804;0.5159;0.5462;0.5263;0.4082;0.4598;0.6033;0.8235;0.7179;0.7671;0.6111;0.8919;0.7253;0.0000;0.0000;0.0000;0.6932
45;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7623;0.7440;0.7530;0.7075;0.5952;0.6466;0.4722;0.6939;0.5620;0.6733;0.8077;0.5385;0.6462;0.4286;0.4054;0.4167;0.0370;0.0833;0.0513;0.4205
46;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7165;0.7280;0.7222;0.6522;0.5952;0.6224;0.5000;0.5918;0.5421;0.6500;0.9615;0.6410;0.7692;0.5763;0.9189;0.7083;0.0000;0.0000;0.0000;0.6705
47;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.7563;0.7200;0.7377;0.6729;0.5714;0.6180;0.4730;0.7143;0.5691;0.6567;0.6765;0.5897;0.6301;0.4815;0.7027;0.5714;0.0000;0.0000;0.0000;0.5568
48;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.6284;0.7440;0.6813;0.6071;0.5397;0.5714;0.5250;0.4286;0.4719;0.6067;0.4571;0.8205;0.5872;0.2143;0.0811;0.1176;0.0000;0.0000;0.0000;0.3977
49;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.6739;0.7440;0.7072;0.6066;0.5873;0.5968;0.5000;0.4082;0.4494;0.6233;0.8125;0.6667;0.7324;0.6000;0.8919;0.7174;0.0000;0.0000;0.0000;0.6705
50;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7385;0.7680;0.7529;0.6512;0.6667;0.6588;0.5854;0.4898;0.5333;0.6800;0.7143;0.7692;0.7407;0.5682;0.6757;0.6173;0.0000;0.0000;0.0000;0.6250
51;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.7680;0.7680;0.7680;0.6602;0.5397;0.5939;0.4861;0.7143;0.5785;0.6633;0.5789;0.8462;0.6875;0.5806;0.4865;0.5294;0.0000;0.0000;0.0000;0.5795
52;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.6483;0.7520;0.6963;0.6042;0.4603;0.5225;0.4576;0.5510;0.5000;0.5967;0.4571;0.8205;0.5872;0.2143;0.0811;0.1176;0.0000;0.0000;0.0000;0.3977
53;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7083;0.6800;0.6939;0.6033;0.5794;0.5911;0.3559;0.4286;0.3889;0.5967;0.8182;0.6923;0.7500;0.6000;0.8919;0.7174;0.0000;0.0000;0.0000;0.6818
54;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7101;0.7840;0.7452;0.6847;0.6032;0.6414;0.5098;0.5306;0.5200;0.6667;0.8824;0.7692;0.8219;0.6078;0.8378;0.7045;0.0000;0.0000;0.0000;0.6932
55;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.7236;0.7120;0.7177;0.6832;0.5476;0.6079;0.4605;0.7143;0.5600;0.6433;0.5789;0.8462;0.6875;0.5806;0.4865;0.5294;0.0000;0.0000;0.0000;0.5795
56;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.8160;0.8160;0.8160;0.7348;0.7698;0.7519;0.7209;0.6327;0.6739;0.7667;0.4792;0.5897;0.5287;0.3889;0.3784;0.3836;0.2500;0.0833;0.1250;0.4318
57;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7500;0.7920;0.7704;0.7000;0.6667;0.6829;0.6458;0.6327;0.6392;0.7133;0.7568;0.7179;0.7368;0.6122;0.8108;0.6977;1.0000;0.1667;0.2857;0.6818
58;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7750;0.7440;0.7592;0.6765;0.7302;0.7023;0.7045;0.6327;0.6667;0.7200;0.6512;0.7179;0.6829;0.5854;0.6486;0.6154;0.5000;0.1667;0.2500;0.6136
59;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.7863;0.8240;0.8047;0.7063;0.7063;0.7063;0.7209;0.6327;0.6739;0.7433;0.6250;0.5128;0.5634;0.4464;0.6757;0.5376;0.0000;0.0000;0.0000;0.5114
60;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.7463;0.8000;0.7722;0.7040;0.6984;0.7012;0.8049;0.6735;0.7333;0.7367;0.8000;0.6154;0.6957;0.5273;0.7838;0.6304;0.0000;0.0000;0.0000;0.6023
61;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.8000;0.8320;0.8157;0.7750;0.7381;0.7561;0.6800;0.6939;0.6869;0.7700;0.8056;0.7436;0.7733;0.6458;0.8378;0.7294;0.5000;0.1667;0.2500;0.7045
62;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7891;0.8080;0.7984;0.7317;0.7143;0.7229;0.5510;0.5510;0.5510;0.7267;0.7667;0.5897;0.6667;0.4792;0.6216;0.5412;0.1000;0.0833;0.0909;0.5341
63;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.7891;0.8080;0.7984;0.7213;0.6984;0.7097;0.6400;0.6531;0.6465;0.7367;0.6087;0.3590;0.4516;0.4516;0.7568;0.5657;0.3333;0.0833;0.1333;0.4886
64;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.7623;0.7440;0.7530;0.6484;0.6587;0.6535;0.6000;0.6122;0.6061;0.6867;0.2979;0.3590;0.3256;0.3478;0.2162;0.2667;0.0556;0.0833;0.0667;0.2614
65;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7143;0.8000;0.7547;0.6991;0.6270;0.6611;0.6383;0.6122;0.6250;0.6967;0.6957;0.8205;0.7529;0.6571;0.6216;0.6389;0.0000;0.0000;0.0000;0.6250
66;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7600;0.7600;0.7600;0.6718;0.6984;0.6848;0.5909;0.5306;0.5591;0.6967;0.6591;0.7436;0.6988;0.5854;0.6486;0.6154;0.6667;0.1667;0.2667;0.6250
67;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.8413;0.8480;0.8446;0.7323;0.7381;0.7352;0.7021;0.6735;0.6875;0.7733;0.9600;0.6154;0.7500;0.5968;1.0000;0.7475;1.0000;0.0833;0.1538;0.7045
68;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.7481;0.8080;0.7769;0.6880;0.6825;0.6853;0.6000;0.4898;0.5393;0.7033;0.6000;0.2308;0.3333;0.5893;0.8919;0.7097;0.0000;0.0000;0.0000;0.4773
69;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7364;0.7600;0.7480;0.6800;0.6746;0.6773;0.6739;0.6327;0.6526;0.7033;0.7429;0.6667;0.7027;0.5152;0.4595;0.4857;0.2000;0.3333;0.2500;0.5341
70;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7803;0.8240;0.8016;0.6967;0.6746;0.6855;0.5217;0.4898;0.5053;0.7067;0.7647;0.6667;0.7123;0.5490;0.7568;0.6364;0.0000;0.0000;0.0000;0.6136
71;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.7823;0.7760;0.7791;0.7008;0.7063;0.7036;0.6939;0.6939;0.6939;0.7333;0.5000;0.4359;0.4658;0.3889;0.5676;0.4615;0.0000;0.0000;0.0000;0.4318
72;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 10, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.7520;0.7520;0.7520;0.6496;0.6032;0.6255;0.4483;0.5306;0.4860;0.6533;0.4359;0.8718;0.5812;0.2000;0.0541;0.0851;0.0000;0.0000;0.0000;0.4091
73;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 10, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7597;0.7840;0.7717;0.6639;0.6270;0.6449;0.5192;0.5510;0.5347;0.6800;0.7105;0.6923;0.7013;0.6042;0.7838;0.6824;1.0000;0.1667;0.2857;0.6591
