ID;Conf;D1G-P;D1G-R;D1G-F1;D1Y-P;D1Y-R;D1Y-F1;D1R-P;D1R-R;D1R-F1;D1Accuracy;D2G-P;D2G-R;D2G-F1;D2Y-P;D2Y-R;D2Y-F1;D2R-P;D2R-R;D2R-F1;D2Accuracy
0;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.7541;0.5823;0.6571;0.6071;0.7312;0.6634;0.4800;0.4615;0.4706;0.6364;0.4792;0.5897;0.5287;0.3889;0.3784;0.3836;0.2500;0.0833;0.1250;0.4318
1;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7031;0.5696;0.6294;0.5849;0.6667;0.6231;0.3571;0.3846;0.3704;0.5909;0.7568;0.7179;0.7368;0.6122;0.8108;0.6977;1.0000;0.1667;0.2857;0.6818
2;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7368;0.5316;0.6176;0.6408;0.7097;0.6735;0.2105;0.3077;0.2500;0.5859;0.6512;0.7179;0.6829;0.5854;0.6486;0.6154;0.5000;0.1667;0.2500;0.6136
3;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.7826;0.6835;0.7297;0.6442;0.7204;0.6802;0.2800;0.2692;0.2745;0.6465;0.6250;0.5128;0.5634;0.4464;0.6757;0.5376;0.0000;0.0000;0.0000;0.5114
4;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.6471;0.5570;0.5986;0.6327;0.6667;0.6492;0.4688;0.5769;0.5172;0.6111;0.7647;0.6667;0.7123;0.5472;0.7838;0.6444;0.0000;0.0000;0.0000;0.6250
5;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7541;0.5823;0.6571;0.5856;0.6989;0.6373;0.3077;0.3077;0.3077;0.6010;0.8529;0.7436;0.7945;0.6531;0.8649;0.7442;0.4000;0.1667;0.2353;0.7159
6;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7143;0.5696;0.6338;0.6226;0.7097;0.6633;0.3793;0.4231;0.4000;0.6162;0.7667;0.5897;0.6667;0.4792;0.6216;0.5412;0.1000;0.0833;0.0909;0.5341
7;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.7619;0.6076;0.6761;0.6796;0.7527;0.7143;0.4375;0.5385;0.4828;0.6667;0.6087;0.3590;0.4516;0.4444;0.7568;0.5600;0.0000;0.0000;0.0000;0.4773
8;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.6364;0.4430;0.5224;0.5833;0.6774;0.6269;0.2286;0.3077;0.2623;0.5354;0.2979;0.3590;0.3256;0.3478;0.2162;0.2667;0.0556;0.0833;0.0667;0.2614
9;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.6286;0.5570;0.5906;0.6321;0.7204;0.6734;0.5000;0.4231;0.4583;0.6162;0.6957;0.8205;0.7529;0.6571;0.6216;0.6389;0.0000;0.0000;0.0000;0.6250
10;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7544;0.5443;0.6324;0.6696;0.8280;0.7404;0.3462;0.3462;0.3462;0.6515;0.6591;0.7436;0.6988;0.5854;0.6486;0.6154;0.6667;0.1667;0.2667;0.6250
11;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.6286;0.5570;0.5906;0.5941;0.6452;0.6186;0.4074;0.4231;0.4151;0.5808;0.9600;0.6154;0.7500;0.5968;1.0000;0.7475;1.0000;0.0833;0.1538;0.7045
12;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.6800;0.4304;0.5271;0.6034;0.7527;0.6699;0.3750;0.4615;0.4138;0.5859;0.6000;0.2308;0.3333;0.5893;0.8919;0.7097;0.0000;0.0000;0.0000;0.4773
13;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.6462;0.5316;0.5833;0.5556;0.5914;0.5729;0.1765;0.2308;0.2000;0.5202;0.7073;0.7436;0.7250;0.6591;0.7838;0.7160;0.0000;0.0000;0.0000;0.6591
14;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7667;0.5823;0.6619;0.6538;0.7312;0.6904;0.4118;0.5385;0.4667;0.6465;0.7647;0.6667;0.7123;0.5490;0.7568;0.6364;0.0000;0.0000;0.0000;0.6136
15;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.6719;0.5443;0.6014;0.6058;0.6774;0.6396;0.4333;0.5000;0.4643;0.6010;0.8462;0.5641;0.6769;0.5455;0.8108;0.6522;0.2857;0.1667;0.2105;0.6136
16;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.7188;0.5823;0.6434;0.6200;0.6667;0.6425;0.1765;0.2308;0.2000;0.5758;0.4359;0.8718;0.5812;0.2000;0.0541;0.0851;0.0000;0.0000;0.0000;0.4091
17;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.6833;0.5190;0.5899;0.5780;0.6774;0.6238;0.1724;0.1923;0.1818;0.5505;0.7105;0.6923;0.7013;0.6042;0.7838;0.6824;1.0000;0.1667;0.2857;0.6591
18;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7458;0.5570;0.6377;0.6339;0.7634;0.6927;0.3333;0.3462;0.3396;0.6263;0.6481;0.8974;0.7527;0.6250;0.5405;0.5797;0.0000;0.0000;0.0000;0.6250
19;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.7273;0.6076;0.6621;0.6526;0.6667;0.6596;0.3243;0.4615;0.3810;0.6162;1.0000;0.6410;0.7813;0.5873;1.0000;0.7400;0.0000;0.0000;0.0000;0.7045
20;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.7018;0.5063;0.5882;0.5660;0.6452;0.6030;0.2286;0.3077;0.2623;0.5455;0.4507;0.8205;0.5818;0.2000;0.0811;0.1154;0.5000;0.0833;0.1429;0.4091
21;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.6852;0.4684;0.5564;0.5789;0.7097;0.6377;0.2333;0.2692;0.2500;0.5556;0.6667;0.7692;0.7143;0.5814;0.6757;0.6250;0.0000;0.0000;0.0000;0.6250
22;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7143;0.5696;0.6338;0.6429;0.7742;0.7024;0.3913;0.3462;0.3673;0.6364;0.4545;0.7692;0.5714;0.3000;0.1622;0.2105;0.0000;0.0000;0.0000;0.4091
23;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.6984;0.5570;0.6197;0.6154;0.6882;0.6497;0.3226;0.3846;0.3509;0.5960;1.0000;0.6410;0.7813;0.5873;1.0000;0.7400;0.0000;0.0000;0.0000;0.7045
24;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.6667;0.4051;0.5039;0.5472;0.6237;0.5829;0.1591;0.2692;0.2000;0.4899;0.8710;0.6923;0.7714;0.5789;0.8919;0.7021;0.0000;0.0000;0.0000;0.6818
25;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7600;0.4810;0.5891;0.5739;0.7097;0.6346;0.0909;0.1154;0.1017;0.5404;0.6944;0.6410;0.6667;0.5577;0.7838;0.6517;0.0000;0.0000;0.0000;0.6136
26;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.6875;0.5570;0.6154;0.6139;0.6667;0.6392;0.3939;0.5000;0.4407;0.6010;0.7381;0.7949;0.7654;0.5909;0.7027;0.6420;0.0000;0.0000;0.0000;0.6477
27;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.6508;0.5190;0.5775;0.5644;0.6129;0.5876;0.2941;0.3846;0.3333;0.5455;0.5789;0.8462;0.6875;0.5806;0.4865;0.5294;0.0000;0.0000;0.0000;0.5795
28;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.6596;0.3924;0.4921;0.5285;0.6989;0.6019;0.2143;0.2308;0.2222;0.5152;0.8710;0.6923;0.7714;0.5789;0.8919;0.7021;0.0000;0.0000;0.0000;0.6818
29;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7627;0.5696;0.6522;0.6931;0.7527;0.7216;0.2895;0.4231;0.3438;0.6364;0.4103;0.8205;0.5470;0.3000;0.0811;0.1277;0.0000;0.0000;0.0000;0.3977
30;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7097;0.5570;0.6241;0.6275;0.6882;0.6564;0.3824;0.5000;0.4333;0.6111;0.4444;0.9231;0.6000;0.2000;0.0270;0.0476;0.0000;0.0000;0.0000;0.4205
31;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.6406;0.5190;0.5734;0.6078;0.6667;0.6359;0.3125;0.3846;0.3448;0.5707;1.0000;0.6667;0.8000;0.5968;1.0000;0.7475;0.0000;0.0000;0.0000;0.7159
32;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.6066;0.4684;0.5286;0.4955;0.5914;0.5392;0.0769;0.0769;0.0769;0.4747;0.7297;0.6923;0.7105;0.5600;0.7568;0.6437;0.0000;0.0000;0.0000;0.6250
33;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7692;0.3797;0.5085;0.5361;0.5591;0.5474;0.0968;0.2308;0.1364;0.4444;0.7429;0.6667;0.7027;0.5769;0.8108;0.6742;0.0000;0.0000;0.0000;0.6364
34;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.6545;0.4557;0.5373;0.5490;0.6022;0.5744;0.2927;0.4615;0.3582;0.5253;0.7381;0.7949;0.7654;0.5909;0.7027;0.6420;0.0000;0.0000;0.0000;0.6477
35;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.6981;0.4684;0.5606;0.5636;0.6667;0.6108;0.2571;0.3462;0.2951;0.5455;0.6765;0.5897;0.6301;0.4815;0.7027;0.5714;0.0000;0.0000;0.0000;0.5568
36;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.6471;0.4177;0.5077;0.5271;0.7312;0.6126;0.0000;0.0000;0.0000;0.5101;0.7297;0.6923;0.7105;0.5600;0.7568;0.6437;0.0000;0.0000;0.0000;0.6250
37;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7400;0.4684;0.5736;0.6176;0.6774;0.6462;0.1522;0.2692;0.1944;0.5404;0.7879;0.6667;0.7222;0.5818;0.8649;0.6957;0.0000;0.0000;0.0000;0.6591
38;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7273;0.5063;0.5970;0.5981;0.6882;0.6400;0.3333;0.4615;0.3871;0.5859;0.4507;0.8205;0.5818;0.2667;0.1081;0.1538;0.0000;0.0000;0.0000;0.4091
39;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.7500;0.5316;0.6222;0.6053;0.7419;0.6667;0.3214;0.3462;0.3333;0.6061;0.9600;0.6154;0.7500;0.5873;1.0000;0.7400;0.0000;0.0000;0.0000;0.6932
40;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.5610;0.2911;0.3833;0.5000;0.7204;0.5903;0.2174;0.1923;0.2041;0.4798;0.8235;0.7179;0.7671;0.6111;0.8919;0.7253;0.0000;0.0000;0.0000;0.6932
41;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7692;0.3797;0.5085;0.5094;0.5806;0.5427;0.0566;0.1154;0.0759;0.4394;0.7429;0.6667;0.7027;0.5769;0.8108;0.6742;0.0000;0.0000;0.0000;0.6364
42;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.6780;0.5063;0.5797;0.6000;0.6129;0.6064;0.2727;0.4615;0.3429;0.5505;0.7750;0.7949;0.7848;0.6087;0.7568;0.6747;0.0000;0.0000;0.0000;0.6705
43;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.7400;0.4684;0.5736;0.5816;0.6129;0.5969;0.2400;0.4615;0.3158;0.5354;0.6765;0.5897;0.6301;0.4815;0.7027;0.5714;0.0000;0.0000;0.0000;0.5568
44;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.6667;0.3291;0.4407;0.5414;0.7742;0.6372;0.3077;0.3077;0.3077;0.5354;0.8235;0.7179;0.7671;0.6111;0.8919;0.7253;0.0000;0.0000;0.0000;0.6932
45;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.6829;0.3544;0.4667;0.4894;0.4946;0.4920;0.1587;0.3846;0.2247;0.4242;0.8077;0.5385;0.6462;0.4286;0.4054;0.4167;0.0370;0.0833;0.0513;0.4205
46;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7167;0.5443;0.6187;0.6364;0.6774;0.6562;0.3077;0.4615;0.3692;0.5960;0.9615;0.6410;0.7692;0.5763;0.9189;0.7083;0.0000;0.0000;0.0000;0.6705
47;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.7679;0.5443;0.6370;0.6195;0.7527;0.6796;0.2069;0.2308;0.2182;0.6010;0.6765;0.5897;0.6301;0.4815;0.7027;0.5714;0.0000;0.0000;0.0000;0.5568
48;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.6182;0.4304;0.5075;0.5133;0.6237;0.5631;0.1000;0.1154;0.1071;0.4798;0.4571;0.8205;0.5872;0.2143;0.0811;0.1176;0.0000;0.0000;0.0000;0.3977
49;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7955;0.4430;0.5691;0.5500;0.5914;0.5699;0.1852;0.3846;0.2500;0.5051;0.8125;0.6667;0.7324;0.6000;0.8919;0.7174;0.0000;0.0000;0.0000;0.6705
50;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7667;0.5823;0.6619;0.6517;0.6237;0.6374;0.2449;0.4615;0.3200;0.5859;0.7143;0.7692;0.7407;0.5682;0.6757;0.6173;0.0000;0.0000;0.0000;0.6250
51;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.8367;0.5190;0.6406;0.5625;0.5806;0.5714;0.1132;0.2308;0.1519;0.5101;0.5789;0.8462;0.6875;0.5806;0.4865;0.5294;0.0000;0.0000;0.0000;0.5795
52;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.6744;0.3671;0.4754;0.4957;0.6129;0.5481;0.2000;0.3077;0.2424;0.4747;0.4571;0.8205;0.5872;0.2143;0.0811;0.1176;0.0000;0.0000;0.0000;0.3977
53;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7500;0.5316;0.6222;0.6413;0.6344;0.6378;0.2000;0.3846;0.2632;0.5606;0.8182;0.6923;0.7500;0.6000;0.8919;0.7174;0.0000;0.0000;0.0000;0.6818
54;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7308;0.4810;0.5802;0.6196;0.6129;0.6162;0.2222;0.4615;0.3000;0.5404;0.8824;0.7692;0.8219;0.6078;0.8378;0.7045;0.0000;0.0000;0.0000;0.6932
55;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.8140;0.4430;0.5738;0.5926;0.6882;0.6368;0.1277;0.2308;0.1644;0.5303;0.5789;0.8462;0.6875;0.5806;0.4865;0.5294;0.0000;0.0000;0.0000;0.5795
56;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.7541;0.5823;0.6571;0.6071;0.7312;0.6634;0.4800;0.4615;0.4706;0.6364;0.4792;0.5897;0.5287;0.3889;0.3784;0.3836;0.2500;0.0833;0.1250;0.4318
57;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7031;0.5696;0.6294;0.5849;0.6667;0.6231;0.3571;0.3846;0.3704;0.5909;0.7568;0.7179;0.7368;0.6122;0.8108;0.6977;1.0000;0.1667;0.2857;0.6818
58;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7368;0.5316;0.6176;0.6408;0.7097;0.6735;0.2105;0.3077;0.2500;0.5859;0.6512;0.7179;0.6829;0.5854;0.6486;0.6154;0.5000;0.1667;0.2500;0.6136
59;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.7826;0.6835;0.7297;0.6442;0.7204;0.6802;0.2800;0.2692;0.2745;0.6465;0.6250;0.5128;0.5634;0.4464;0.6757;0.5376;0.0000;0.0000;0.0000;0.5114
60;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.6667;0.5316;0.5915;0.6000;0.7097;0.6502;0.5600;0.5385;0.5490;0.6162;0.8000;0.6154;0.6957;0.5273;0.7838;0.6304;0.0000;0.0000;0.0000;0.6023
61;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7288;0.5443;0.6232;0.6190;0.6989;0.6566;0.2353;0.3077;0.2667;0.5859;0.8056;0.7436;0.7733;0.6458;0.8378;0.7294;0.5000;0.1667;0.2500;0.7045
62;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7188;0.5823;0.6434;0.6389;0.7419;0.6866;0.4231;0.4231;0.4231;0.6364;0.7667;0.5897;0.6667;0.4792;0.6216;0.5412;0.1000;0.0833;0.0909;0.5341
63;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.7619;0.6076;0.6761;0.6733;0.7312;0.7010;0.4118;0.5385;0.4667;0.6566;0.6087;0.3590;0.4516;0.4516;0.7568;0.5657;0.3333;0.0833;0.1333;0.4886
64;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.6364;0.4430;0.5224;0.5833;0.6774;0.6269;0.2286;0.3077;0.2623;0.5354;0.2979;0.3590;0.3256;0.3478;0.2162;0.2667;0.0556;0.0833;0.0667;0.2614
65;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.6324;0.5443;0.5850;0.6296;0.7312;0.6766;0.5000;0.4231;0.4583;0.6162;0.6957;0.8205;0.7529;0.6571;0.6216;0.6389;0.0000;0.0000;0.0000;0.6250
66;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7544;0.5443;0.6324;0.6696;0.8280;0.7404;0.3462;0.3462;0.3462;0.6515;0.6591;0.7436;0.6988;0.5854;0.6486;0.6154;0.6667;0.1667;0.2667;0.6250
67;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.6286;0.5570;0.5906;0.5941;0.6452;0.6186;0.4074;0.4231;0.4151;0.5808;0.9600;0.6154;0.7500;0.5968;1.0000;0.7475;1.0000;0.0833;0.1538;0.7045
68;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.7200;0.4557;0.5581;0.6121;0.7634;0.6794;0.3750;0.4615;0.4138;0.6010;0.6000;0.2308;0.3333;0.5893;0.8919;0.7097;0.0000;0.0000;0.0000;0.4773
69;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.6667;0.5570;0.6069;0.5729;0.5914;0.5820;0.1667;0.2308;0.1935;0.5303;0.7429;0.6667;0.7027;0.5152;0.4595;0.4857;0.2000;0.3333;0.2500;0.5341
70;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7667;0.5823;0.6619;0.6538;0.7312;0.6904;0.4118;0.5385;0.4667;0.6465;0.7647;0.6667;0.7123;0.5490;0.7568;0.6364;0.0000;0.0000;0.0000;0.6136
71;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.6769;0.5570;0.6111;0.6117;0.6774;0.6429;0.4333;0.5000;0.4643;0.6061;0.5000;0.4359;0.4658;0.3889;0.5676;0.4615;0.0000;0.0000;0.0000;0.4318
72;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 10, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.7188;0.5823;0.6434;0.6200;0.6667;0.6425;0.1765;0.2308;0.2000;0.5758;0.4359;0.8718;0.5812;0.2000;0.0541;0.0851;0.0000;0.0000;0.0000;0.4091
73;{'max_depth': 30, 'min_samples_split': 2, 'min_impurity_decrease': 0.005, 'min_samples_leaf': 10, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.6833;0.5190;0.5899;0.5780;0.6774;0.6238;0.1724;0.1923;0.1818;0.5505;0.7105;0.6923;0.7013;0.6042;0.7838;0.6824;1.0000;0.1667;0.2857;0.6591
