ID;Conf;D1G-P;D1G-R;D1G-F1;D1Y-P;D1Y-R;D1Y-F1;D1R-P;D1R-R;D1R-F1;D1Accuracy;D2G-P;D2G-R;D2G-F1;D2Y-P;D2Y-R;D2Y-F1;D2R-P;D2R-R;D2R-F1;D2Accuracy
1283;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 30, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.8367;0.5190;0.6406;0.5625;0.5806;0.5714;0.1132;0.2308;0.1519;0.5101;0.5789;0.8462;0.6875;0.5806;0.4865;0.5294;0.0000;0.0000;0.0000;0.5795
1284;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.6744;0.3671;0.4754;0.4957;0.6129;0.5481;0.2000;0.3077;0.2424;0.4747;0.4571;0.8205;0.5872;0.2143;0.0811;0.1176;0.0000;0.0000;0.0000;0.3977
1285;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7500;0.5316;0.6222;0.6413;0.6344;0.6378;0.2000;0.3846;0.2632;0.5606;0.8182;0.6923;0.7500;0.6000;0.8919;0.7174;0.0000;0.0000;0.0000;0.6818
1286;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7308;0.4810;0.5802;0.6196;0.6129;0.6162;0.2222;0.4615;0.3000;0.5404;0.8824;0.7692;0.8219;0.6078;0.8378;0.7045;0.0000;0.0000;0.0000;0.6932
1287;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.8140;0.4430;0.5738;0.5926;0.6882;0.6368;0.1277;0.2308;0.1644;0.5303;0.5789;0.8462;0.6875;0.5806;0.4865;0.5294;0.0000;0.0000;0.0000;0.5795
1288;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.7826;0.6835;0.7297;0.6505;0.7204;0.6837;0.2692;0.2692;0.2692;0.6465;0.4507;0.8205;0.5818;0.1875;0.0811;0.1132;0.0000;0.0000;0.0000;0.3977
1289;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7636;0.5316;0.6269;0.5826;0.7204;0.6442;0.2143;0.2308;0.2222;0.5808;0.7105;0.6923;0.7013;0.5918;0.7838;0.6744;1.0000;0.0833;0.1538;0.6477
1290;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7213;0.5570;0.6286;0.6604;0.7527;0.7035;0.2903;0.3462;0.3158;0.6212;0.6667;0.8205;0.7356;0.6571;0.6216;0.6389;0.4000;0.1667;0.2353;0.6477
1291;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.6806;0.6203;0.6490;0.6344;0.6344;0.6344;0.3939;0.5000;0.4407;0.6111;0.8148;0.5641;0.6667;0.5424;0.8649;0.6667;0.5000;0.0833;0.1429;0.6250
1292;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.7857;0.5570;0.6519;0.5882;0.6452;0.6154;0.3000;0.4615;0.3636;0.5859;0.9583;0.5897;0.7302;0.5625;0.9730;0.7129;0.0000;0.0000;0.0000;0.6705
